trajectory_uid,video_id,pred_track_id,trajectory_segment_id,points,observed_points,interpolated_points,duration_sec,mean_raw_step_px,mean_clean_step_px,max_clean_step_px
V3_FEEDING:T5:S0,V3_FEEDING,5,0,5,5,0,0.14063705278592373,9.887485206559106,5.686551656716073,9.749205007657112
V3_FEEDING:T60:S0,V3_FEEDING,60,0,6,6,0,0.17579631598240297,12.645753397295078,7.900064401193662,12.014881581400314
V3_FEEDING:T61:S0,V3_FEEDING,61,0,12,12,0,0.3867518951612894,6.963993318545828,5.6059210419966,10.669371525349687
V3_FEEDING:T62:S0,V3_FEEDING,62,0,5,5,0,0.1406370527859231,2.056410694773265,0.9550745630321695,1.199673433070138
V3_FEEDING:T62:S1,V3_FEEDING,62,1,33,33,0,1.1250964222873883,1.7719308502235491,1.4698534419742912,4.017720832414726
V3_FEEDING:T62:S2,V3_FEEDING,62,2,46,46,0,1.5821668438416445,7.541216038796661,7.254641651874959,17.588600995424436
V3_FEEDING:T63:S0,V3_FEEDING,63,0,5,5,0,0.1406370527859231,4.493969690740019,2.179670238675097,2.564393976334674
V3_FEEDING:T67:S0,V3_FEEDING,67,0,5,5,0,0.14063705278592664,4.220582805831497,2.3571794885315467,3.1898539234624455
V3_FEEDING:T68:S0,V3_FEEDING,68,0,175,175,0,6.117711796187685,3.1994711861875835,2.916464793248869,10.152304303115365
V3_FEEDING:T69:S0,V3_FEEDING,69,0,14,14,0,0.45707042155424915,2.9700869137253596,2.286998966679693,8.4814390001839
V3_FEEDING:T69:S1,V3_FEEDING,69,1,8,8,0,0.2461148423753663,2.052044739462104,1.3899560282537984,2.9771062870178797
V3_FEEDING:T70:S0,V3_FEEDING,70,0,40,40,0,1.3712112646627581,3.18900137482298,2.798772509433401,8.434240974956412
V3_FEEDING:T71:S0,V3_FEEDING,71,0,349,349,0,12.235423592375366,3.4238850829365886,3.111007548277673,15.61077880859375
V3_FEEDING:T73:S0,V3_FEEDING,73,0,61,61,0,2.109555791788857,2.800350535622771,2.079396533081838,5.476340433079387
V3_FEEDING:T73:S1,V3_FEEDING,73,1,71,71,0,2.4611484237536665,3.8816952740959745,3.238472599976226,15.444843521984144
V3_FEEDING:T77:S0,V3_FEEDING,77,0,394,394,0,13.817590436217007,3.0667572516271804,2.781180604430866,12.379550281993629
V3_FEEDING:T78:S0,V3_FEEDING,78,0,68,68,0,2.3556706341642197,2.8731473403474346,2.6001635504558247,7.406650896655244
V3_FEEDING:T78:S1,V3_FEEDING,78,1,71,71,0,2.4611484237536665,4.258473935479228,3.8863338568727364,14.670100667061337
V3_FEEDING:T78:S2,V3_FEEDING,78,2,103,100,3,3.5862448460410583,8.474899767009726,8.153102102727283,27.621871964969962
V3_FEEDING:T80:S0,V3_FEEDING,80,0,46,46,0,1.582166843841641,4.164105377882986,3.8315081283570604,13.771395428800332
V3_FEEDING:T82:S0,V3_FEEDING,82,0,353,352,1,12.376060645161292,2.9541087640771098,2.579713038122794,11.309555997147006
V3_FEEDING:T83:S0,V3_FEEDING,83,0,65,65,0,2.2501928445747836,3.414152533143264,3.280522539072097,8.465748148135997
V3_FEEDING:T83:S1,V3_FEEDING,83,1,11,11,0,0.35159263196480595,2.289276905284391,0.9537464850513437,2.9360621711751222
V3_FEEDING:T89:S0,V3_FEEDING,89,0,30,30,0,1.019618632697945,1.6693819711471551,1.1395915536233103,5.000240114246828
V3_FEEDING:T89:S1,V3_FEEDING,89,1,8,6,2,0.24611484237536985,2.6470277318220243,1.797237853752612,2.639376742122439
V3_FEEDING:T8:S0,V3_FEEDING,8,0,39,39,0,1.3360520014662756,2.8525126976522,2.23251635709041,16.169580444478047
V3_FEEDING:T8:S1,V3_FEEDING,8,1,25,25,0,0.8438223167155421,5.360050815919984,4.6282102387722395,15.101178139245738
V3_FEEDING:T90:S0,V3_FEEDING,90,0,461,459,2,16.17326107038123,3.3368323987504476,2.716153315584861,16.588536115654914
V3_FEEDING:T90:S1,V3_FEEDING,90,1,14,14,0,0.45707042155425626,3.592215431262721,2.707766253308073,6.277722364514249
V3_FEEDING:T90:S2,V3_FEEDING,90,2,773,765,8,27.14295118768328,2.207004035329511,1.7086448315689409,12.64246871334788
V3_FEEDING:T92:S0,V3_FEEDING,92,0,461,461,0,16.17326107038123,3.4412118009562227,3.170721540091607,15.64109928906594
V3_FEEDING:T93:S0,V3_FEEDING,93,0,28,28,0,0.9493001063049888,2.928356312251574,2.4658248171043766,5.033725239609446
V3_FEEDING:T94:S0,V3_FEEDING,94,0,114,114,0,3.972996741202344,1.7947351936401692,1.5049970030991306,4.51770776092313
V3_FEEDING:T94:S1,V3_FEEDING,94,1,221,221,0,7.735037903225809,3.9561277794183876,3.7296422775377596,13.440142458660086
